"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual","STATE"
1966,22.4,30.4,43.3,51.3,58.4,72.3,79.2,73.1,65.2,51.9,43.8,32.7,52,"Indiana"
1967,32.6,27.7,43.9,53.6,59.3,73.9,73.8,71.1,65.9,55.2,39.4,33.7,52.5,"Indiana"
1968,25.1,26.4,42.8,53.7,58.6,72.3,75.3,74.4,65.8,54.4,42.9,30.6,51.9,"Indiana"
1969,25.7,31.6,35.6,54,63.4,69.8,75.8,72.6,65.1,53.8,37.5,28.1,51.1,"Indiana"
1970,17.9,28.6,38,55.1,65.6,71.4,75.2,74.2,69.1,55.1,40.9,34.7,52.2,"Indiana"
1971,23.4,28.8,37.3,51,58.9,75.6,72.2,71.2,69.4,62,43.1,38.4,52.6,"Indiana"
1972,26.5,28.4,39.8,52.1,65,68.8,74.6,73.1,68.3,51.5,39.9,31.9,51.7,"Indiana"
1973,30.7,31.4,49.4,51.3,59.5,73.2,76,74.4,69.8,59.4,46.4,30.8,54.4,"Indiana"
1974,31.6,32.4,45.2,55,62,68.6,75.9,71.8,60.6,52.5,42.4,32.9,52.6,"Indiana"
1975,32,32,36.8,48.8,65.5,71.5,73.5,76.1,62.6,55.9,46.4,32.8,52.8,"Indiana"
1976,23.9,38.8,46.6,53.4,58.8,71.3,73.9,71.2,63.5,48.7,34.6,24.5,50.8,"Indiana"
1977,10.2,28.1,46.5,57.1,70.6,71.2,77.9,74,69.6,54.2,45.9,29.2,52.9,"Indiana"
1978,18.2,17.8,36.7,55.2,63.5,74,77.1,74.9,70.3,52.6,45.7,34.3,51.7,"Indiana"
1979,17.9,18.8,43.3,49.8,61.1,71.1,72.9,72.3,64.9,53.1,41.3,34.8,50.1,"Indiana"
1980,28.5,22.5,36,49.1,64,69.1,78.5,76.6,67.9,50.9,40.3,31.8,51.3,"Indiana"
1981,23.4,33,39.9,57.3,59.9,73.2,75.4,72.8,64.6,53.1,44.2,27.7,52,"Indiana"
1982,20.1,26.4,42.5,48.6,68.6,67.8,76.2,71.7,64.4,55.7,44.2,40.2,52.2,"Indiana"
1983,30.5,35.5,42.9,48.2,58.2,71.8,79.7,80.1,69.4,57.4,44.1,20.1,53.2,"Indiana"
1984,22.7,37.3,32.9,50,58.7,75.3,72.4,74.2,64.2,61.3,43,38.8,52.6,"Indiana"
1985,20.4,26,44.6,57.1,64.9,70.6,74.3,71.2,66.2,57.6,46.6,22.4,51.8,"Indiana"
